    -1 :       Date     Time   Level Gridsize    Miss :     Minimum        Mean     Maximum : Parameter name
   152 : 1996-04-16 00:00:00       0        1       0 :                  8.0000             : stn           
   153 : 1996-05-16 00:00:00       0        1       0 :                  4.3000             : pre           
   154 : 1996-05-16 00:00:00       0        1       0 :                  8.0000             : stn           
   155 : 1996-06-16 00:00:00       0        1       0 :                 0.80000             : pre           
   156 : 1996-06-16 00:00:00       0        1       0 :                  8.0000             : stn           
   157 : 1996-07-16 00:00:00       0        1       0 :                 0.20000             : pre           
   158 : 1996-07-16 00:00:00       0        1       0 :                  8.0000             : stn           
   159 : 1996-08-16 00:00:00       0        1       0 :                  2.4000             : pre           
   160 : 1996-08-16 00:00:00       0        1       0 :                  8.0000             : stn           
   161 : 1996-09-16 00:00:00       0        1       0 :                  2.5000             : pre           
   162 : 1996-09-16 00:00:00       0        1       0 :                  8.0000             : stn           
   163 : 1996-10-16 00:00:00       0        1       0 :                  20.000             : pre           
   164 : 1996-10-16 00:00:00       0        1       0 :                  8.0000             : stn           
   165 : 1996-11-16 00:00:00       0        1       0 :                  52.100             : pre           
   166 : 1996-11-16 00:00:00       0        1       0 :                  8.0000             : stn           
   167 : 1996-12-16 00:00:00       0        1       0 :                  54.100             : pre           
   168 : 1996-12-16 00:00:00       0        1       0 :                  8.0000             : stn           
   169 : 1997-01-16 00:00:00       0        1       0 :                  112.70             : pre           
   170 : 1997-01-16 00:00:00       0        1       0 :                  8.0000             : stn           
   171 : 1997-02-15 00:00:00       0        1       0 :                  42.800             : pre           
   172 : 1997-02-15 00:00:00       0        1       0 :                  8.0000             : stn           
   173 : 1997-03-16 00:00:00       0        1       0 :                  99.500             : pre           
   174 : 1997-03-16 00:00:00       0        1       0 :                  8.0000             : stn           
   175 : 1997-04-16 00:00:00       0        1       0 :                  15.500             : pre           
   176 : 1997-04-16 00:00:00       0        1       0 :                  8.0000             : stn           
   177 : 1997-05-16 00:00:00       0        1       0 :                  4.9000             : pre           
   178 : 1997-05-16 00:00:00       0        1       0 :                  8.0000             : stn           
   179 : 1997-06-16 00:00:00       0        1       0 :                  0.0000             : pre           
   180 : 1997-06-16 00:00:00       0        1       0 :                  8.0000             : stn           
   181 : 1997-07-16 00:00:00       0        1       0 :                 0.10000             : pre           
   182 : 1997-07-16 00:00:00       0        1       0 :                  8.0000             : stn           
   183 : 1997-08-16 00:00:00       0        1       0 :                  1.3000             : pre           
   184 : 1997-08-16 00:00:00       0        1       0 :                  8.0000             : stn           
   185 : 1997-09-16 00:00:00       0        1       0 :                  18.900             : pre           
